english,part_of_speech,alutiiq_north,north_audio,north_sentence,alutiiq_south,south_audio,south_sentence,image_name,root_word,category,edited_by,notes,completed,approved
"piece of underwear, tee-shirt, t-shirt",,,,,tiilnaaq,tiilnaaq,,,,,,,,lamatkaaq,,CDKA (112),
get used to it,,,,,liiyulluku,liiyulluku,,,,,,,,liiyarlluku,,"CDKA (60, 113)",
get used to it,,,,,liiyarlluku,liiyarlluku,,,,,,,,liiyulluku,,CDKA (113),
teacher,,,,,uciitilaq,uciitilaq,,,,,,,,litnauwista,,CDKA (106),
be silly,,,,,ellaingayagluni,ellaingayagluni,,,,,,,,llang'ayagluni,,CDKA (96),
"be slick, be slippery",,,,,wasqinarluni,wasqinarluni,,,,,,,,llur'anarluni,,CDKA (96),
slip,,,,,wasqilluni,wasqilluni,,,,,,,,llur'arlluni,,CDKA (97),
"pink salmon, humpie",,,,,amaqaayak,amaqaayak,,,,,,,,luuqaanak,,CDKA (91),
fish spear with detachable barb,,,,,apak'aangaaq,apak'aangaaq,,,,,{Afog.},,,maalik,,CDKA (99),
mother,,,,,aanaq,aanaq,,,,,,,,maama,,CDKA (78),
solar plexus,,,,,patlauskaaq,patlauskaaq,,,,,,,,maksaq,,CDKA (98),
twins,,,,,malrik,malrik,,,,,,,,mal'ik,,CDKA (111),
holy picture,,,,,agayutet,agayutet,,,,,,,,malisaaq,,CDKA (85),
"be [q]'s name-day, have a birthday, pray",,,,,agayuluni,agayuluni,,,,,{pres} agayuuq,,,malitguarluni,,CDKA (40),
"move against something, dock it",,,,,mamilgulluku,mamilgulluku,,,,,,,,mallgulluku,,CDKA (35),
scavenge,,,,,mallungsaarluni,mallungsaarluni,,,,,,,,"mallungqusaagluni, pakugluni",,CDKA (93),
scavenge,,,,,pakugluni,pakugluni,,,,,,,,"mallungsaarluni, mallungqusaagluni",,CDKA (93),
