english,part_of_speech,alutiiq_north,north_audio,north_sentence,alutiiq_south,south_audio,south_sentence,image_name,root_word,category,edited_by,notes,completed,approved
"fishing, s/he is (going after fish)",Verb,iqallugsurtuq,L2.05.09n.mp3,,iqallugsurtuq,L2.05.09s.mp3,,SKW_011.gif,,Physical Actions,Administrator,,TRUE,
five o'clock,Numeral,tallimanek kaugaa,FiveOClock.mp3,,tallimanek kaugaa,FiveOClock.mp3,,5o'clock.gif,,Numbers & Time,Administrator,,TRUE,
"fixing it, s/he is",Verb,asircaraa,L2.05.07n.mp3,,asircaraa,L2.05.07s.mp3,,corner_copy1.jpg,,"Community & Work, Physical Actions",Administrator,,TRUE,
flashlight,Noun,tanqiguaq,flashlight.mp3,,tanqiguaq,,,Fotosearch_SKC_063.gif,,Community & Work,Administrator,,TRUE,
flat one; straight (level),Adjective,nallqisqaq,Line.mp3,,nallqisqaq,Line.mp3,,flat.jpg,,Qualities,Administrator,New Word,TRUE,
float; life ring,Noun,pugtarsuuteq,L1.18.09n.mp3,,pugtarsuuteq,L1.18.09s.mp3,,SKW_024.gif,,Transportation,Administrator,,TRUE,
"floating, s/he is",Verb,pugtuq,L2.09.08n.mp3,,pugtuq,L2.09.08s.mp3,,15851525.gif,,Physical Actions,Administrator,,TRUE,
"flooding, it is",Verb,ul'uq,flooding.mp3,,ul'uq,,,Fotosearch_SKC_017.gif,,Weather,Administrator,,TRUE,
flour,Noun,mukaaq,L2.12.04n.mp3,,mukaaq,L2.12.04s.mp3,,Fotosearch_FAD_104.gif,,Food & Kitchen,Administrator,,TRUE,
fly (bug),Noun,ciiwaq,flybug.mp3,,ciiwaq,,,housefly.gif,,Animals,Administrator,,TRUE,
"flying, it is",Verb,tengaurtuq,flying2.mp3,,tengaurtuq,,,,,Transportation,Administrator,,TRUE,
"food, dried",Noun,kinerngasqat neq'rkat,L1.07.32n.mp3,,kinerngasqat neq'rkat,L1.07.32s.mp3,,,,Food & Kitchen,Administrator,,TRUE,
"food, healthy (good)",Noun,asisqat neq'rkat,L1.07.23n.mp3,,asisqat neq'rkat,L1.07.23s.mp3,,15300262.gif,,Food & Kitchen,Administrator,,TRUE,
"food, junk",Noun,callret neq'rkat,L1.07.24n.mp3,,callret neq'rkat,L1.07.24s.mp3,,16127899.gif,,"Food & Kitchen, Food & Kitchen",Administrator,,TRUE,
forehead,Noun,tatek,L1.02.18n.mp3,,cugyuk,L1.02.18s.mp3,,forehead.gif,,Body & Health,Administrator,,TRUE,
forest,Noun,napartu'uq,L2.14.10n.mp3,,napartu'uq,L2.14.10s.mp3,,15483222.gif,,Vegetation,Administrator,,TRUE,
fork,Noun,wiil'kaaq; wii_'kaaq,L1.06.02n.mp3,,wiil'kaaq; wii_'kaaq,L1.06.02s.mp3,,Fotosearch_FAD_159.gif,,"Food & Kitchen, Food & Kitchen",Administrator,,TRUE,
forward,Adverb,cutmen,L2.10.13n.mp3,,cutmen,L2.10.13s.mp3,,,,Physical Actions,Administrator,,TRUE,
"found it, s/he/it",Verb,ikugaa,L1.16.11n.mp3,,ikugaa,L1.16.11n.mp3,,,,Physical Actions,Administrator,,TRUE,
four,Numeral,staaman,four.mp3,,staaman,four.mp3,,4.gif,,Numbers & Time,Administrator,,TRUE,
four o'clock,Numeral,staamanek kaugaa,FourOClock.mp3,,staamanek kaugaa,FourOClock.mp3,,4o'clock.gif,,Numbers & Time,Administrator,,TRUE,
fourteen,Numeral,qula staaman,Fourteen.mp3,,qula staaman,Fourteen.mp3,,14.gif,,Numbers & Time,Administrator,,TRUE,
frying pan,Noun,skuu_utaq,L1.06.09n.mp3,,skuu_utaq,L1.06.09s.mp3,,SKT_118.gif,,Food & Kitchen,Administrator,,TRUE,
"full, it is",Verb,tatarngauq,L1.19.05n.mp3,,tatarngauq,L1.19.05s.mp3,,,,Qualities,Administrator,,TRUE,
"fun, s/he is having",Verb,nunaniqsagtuq,L2.09.15n.mp3,,nunaniqsagtuq,L2.09.15s.mp3,,15851862.gif,,"Communication & Arts, Physical Actions",Administrator,,TRUE,
"fun, s/he is having no",Verb,nunaniqsanituq,L2.09.16n.mp3,,nunaniqsanituq,L2.09.16s.mp3,,15301532.gif,,"Communication & Arts, Physical Actions",Administrator,,TRUE,
"gathering bidarkis, I'm",Verb,uriitarsurtua,L2.16.12n.mp3,,uriitarsurtua,L2.16.12s.mp3,,,,"Animals, Food & Kitchen, Community & Work",Administrator,,TRUE,
"gill, fish",Noun,pacik; pasik,gill.mp3,,pacik; pasik,,,gill.gif,,"Animals, Animals",Administrator,,TRUE,
give it to (command),Verb,tun'giu,L1.01.29n.mp3,,tun'giu,L1.01.29s.mp3,,,,Physical Actions,Administrator,,TRUE,
"give this to you, I",Verb,mina'amken,L2.08.32n.mp3,,mina'amken,L2.08.32s.mp3,,,,"Greetings & Expressions, Physical Actions",Administrator,,TRUE,
"glasses, work or safety",Noun,pekt'suutek ackiik,,,pekt'suutek ackiik,,,workglasses.gif,,"Clothing & Regalia, Community & Work",Administrator,New Word,TRUE,
go,Verb,agi,L2.09.04n.mp3,,agi,L2.09.04s.mp3,,,,Physical Actions,Administrator,,TRUE,
go down; get down (command),Verb,aciwaa,L1.01.34n.mp3,,aciwaa,L1.01.34s.mp3,,,,Physical Actions,Administrator,,TRUE,
"going outside, s/he is",Verb,an'uq llamen,L2.14.20n.mp3,,an'uq llamen,L2.14.20s.mp3,,14918298.gif,,"Environment & Location, Physical Actions",Administrator,,TRUE,
"good, it is",Verb,asirtuq,L1.05.05n.mp3,,asirtuq,L1.05.05s.mp3,,Fotosearch_SKC_144.gif,,Qualities,Administrator,,TRUE,
goose; Canadian goose,Noun,lagiq,goose.mp3,,lagiq,,,wildgoose.gif,,Animals,Administrator,,TRUE,
grandchild,Noun,elltuwaq,L1.03.11n.mp3,,elltuwaq,L1.03.11s.mp3,,grandchild.gif,,People & Roles,Administrator,,TRUE,
grandfather,Noun,tetuska(q),grandpa.mp3,,tetuska(q),,,grandpa.gif,,People & Roles,Administrator,Russian,TRUE,
grandfather,Noun,apaa(q),L1.03.08n.mp3,,apaa(q),L1.03.08s.mp3,,grandpa.gif,,People & Roles,Administrator,,TRUE,
grass roots (scrubbers),Noun,taarit,L2.16.04n.mp3,,taarit,L2.16.04s.mp3,,,,Household,Administrator,,TRUE,
gray one,Adjective,qikurngasqaq,Gray.mp3,,qikurngasqaq,Gray.mp3,,gray.gif,,Qualities,Administrator,Color,TRUE,
gut (the material),Noun,qilut,L2.19.02n.mp3,,qilut,L2.19.02s.mp3,,,,"Communication & Arts, Community & Work",Administrator,,TRUE,
hair,Noun,nuyat,L1.02.11n.mp3,,nuyat,L1.02.11s.mp3,,hair.gif,,Body & Health,Administrator,,TRUE,
hang it up (command),Verb,iniigiu,L1.10.06n.mp3,,iniigiu,L1.10.06s.mp3,,,,Physical Actions,Administrator,,TRUE,
"happy, s/he is; excited, s/he is",Verb,atgurtuq,L2.09.13n.mp3,,atgurtuq,L2.09.13s.mp3,,happy.gif,,Senses & Emotions,Administrator,,TRUE,
"hard, it is; tough, it is",Verb,teg'uq,L2.16.08n.mp3,,teg'uq,L2.16.08s.mp3,,,,Qualities,Administrator,,TRUE,
"hat, brimmed",Noun,slaapaq,L1.10.17n.mp3,,slaapaq,L1.10.17s.mp3,,SKH_052.gif,,Clothing & Regalia,Administrator,,TRUE,
hawk,Noun,aarulik,hawk.mp3,,aarulik,,,Hawk2.gif,,Animals,Administrator,,TRUE,
healer; doctor,Noun,sungca'ista,L1.09.18n.mp3,,sungca'ista,L1.09.18s.mp3,,fotosearch_evw_101.jpg,,People & Roles,Administrator,,TRUE,
"hear it, I",Verb,niitaqa,L1.02.32n.mp3,,niitaqa,L1.02.32s.mp3,,15268844.gif,,Senses & Emotions,Administrator,,TRUE,
heated seat (butt's warmer),Noun,nullum uqna'isuutii,,,nullum uqna'isuutii,,,,,Transportation,Administrator,New Word,TRUE,
"heavy (weight), it is",Verb,artunartuq,L1.19.15n.mp3,,artunartuq,L1.19.15s.mp3,,,,Qualities,Administrator,,TRUE,
helicopter,Noun,cilrayuguaq,L1.18.07n.mp3,,cilrayuguaq,L1.18.07s.mp3,,SKW_097.gif,,"Transportation, Transportation",Administrator,,TRUE,
hello; hi,Other,cama'i,L1.01.01n.mp3,,cama'i,L1.01.01s.mp3,,14928873.gif,,Greetings & Expressions,Administrator,,TRUE,
"help me; help, I need",Verb,ikayurnga,L1.05.02n.mp3,,ikayurnga,L1.05.02s.mp3,,14983526.gif,,"Community & Work, Physical Actions",Administrator,,TRUE,
"help me?, can you",Verb,ikayukau'arpenga-qaa?,L1.05.01n.mp3,,ikayukau'arpenga-qaa?,L1.05.01s.mp3,,14983526.gif,,"Greetings & Expressions, Community & Work, Physical Actions",Administrator,,TRUE,
"help you, I will",Verb,ikayurcikamken,L2.06.09n.mp3,,ikayurcikamken,L2.06.09s.mp3,,14983526.gif,,"Community & Work, Physical Actions",Administrator,,TRUE,
"helping him, s/he is",Verb,ikayuraa,L2.06.01n.mp3,,ikayuraa,L2.06.01s.mp3,,,,"Community & Work, Physical Actions",Administrator,,TRUE,
"hiding it, s/he is",Verb,nuuyaa,L1.16.10n.mp3,,nuuyaa,L1.16.10n.mp3,,15454613.gif,,Physical Actions,Administrator,,TRUE,
hill,Noun,ing'ingcuk,L2.14.04n.mp3,,ingringcuk,L2.14.04s.mp3,,hill.gif,,Environment & Location,Administrator,,TRUE,
"hit it, I",Verb,aga'agaqa,L2.08.24n.mp3,,aga'agaqa,L2.08.24s.mp3,,,,Physical Actions,Administrator,,TRUE,
hole,Noun,laakaq,L1.14.17n.mp3,,laakaq,L1.14.17s.mp3,,16141575.gif,,Environment & Location,Administrator,,TRUE,
"homes, our",Noun,englupet,L1.04.00n.mp3,,unglupet,L1.04.00n.mp3,,Fotosearch_RES_061.gif,,Household,Administrator,,TRUE,
horse,Noun,kuuniq,horse.mp3,,kuuniq,,,horse.gif,,Animals,Administrator,,TRUE,
"hot, it is",Verb,uqnartuq,L1.06.24n.mp3,,uqnartuq,L1.06.24s.mp3,,Fotosearch_SWO_005.gif,,Qualities,Administrator,,TRUE,
how,Adverb,cestun,L2.20.11n.mp3,,cestun,L2.20.11s.mp3,,,,Greetings & Expressions,Administrator,,TRUE,
"hunted it, I",Verb,pisuk'gka,L2.07.12n.mp3,,pisuk'gka,L2.07.12s.mp3,,,,"Community & Work, Physical Actions",Administrator,,TRUE,
"hunted it, s/he/it",Verb,pisukii,L2.07.11n.mp3,,pisukii,L2.07.11s.mp3,,,,"Community & Work, Physical Actions",Administrator,,TRUE,
hunter,Noun,pisurta,L2.07.10n.mp3,,pisurta,L2.07.10s.mp3,,,,People & Roles,Administrator,,TRUE,
"hunting it, s/he is",Verb,pisuraa,L2.05.08n.mp3,,pisuraa,L2.05.08s.mp3,,,,"Community & Work, Physical Actions",Administrator,,TRUE,
"hunting, s/he was",Verb,pisullria,L2.07.02n.mp3,,pisullia,L2.07.02s.mp3,,14932705.gif,,"Animals, Community & Work, Physical Actions",Administrator,,TRUE,
"hurt, s/he/it has gotten",Verb,angqiartuq,,,angqiartuq,,,hurt.gif,,Body & Health,Administrator,,TRUE,
husband,Noun,wik,husband.mp3,,wik,,,husband.gif,,People & Roles,Administrator,,TRUE,
"husband, my",Noun,wiika,L2.04.03n.mp3,,wiika,L2.04.03s.mp3,,husband.gif,,People & Roles,Administrator,,TRUE,
ice (piece or chunk of),Noun,cikuq,L1.12.18n.mp3,,cikuq,L1.12.18s.mp3,,ice.gif,,Food & Kitchen,Administrator,,TRUE,
ice cream,Noun,kumlasngasqaq muluk'uuq,,,kumlasngasqaq mu_uk'uuq,,,skt_204.jpeg,,Food & Kitchen,Administrator,New Word,TRUE,
inside it,Locative,iluani,L1.14.01n.mp3,,iluani,L1.14.01s.mp3,,Bearinbox.gif,,Environment & Location,Administrator,,TRUE,
"island, from the",Locative,qik'rtamek,L2.14.19n.mp3,,qik'rtamek,L2.14.19s.mp3,,,,Environment & Location,Administrator,,TRUE,
"island, to the",Locative,qik'rtamen,L2.14.26n.mp3,,qik'rtamen,L2.14.26s.mp3,,,,Environment & Location,Administrator,,TRUE,
jean jacket,Noun,kalankaaq,L1.10.12n.mp3,,,,,kalankaaq.jpg,,Clothing & Regalia,Administrator,,TRUE,
jellyfish,Noun,iraluruaq,jellyfish.mp3,,iraluruaq,,,jellyfish.jpg,,Animals,Administrator,,TRUE,
jump (once) (command),Verb,qetgaa,L1.01.19n.mp3,,qetgaa,L1.01.19s.mp3,,Fotosearch_EVW_060.gif,,Physical Actions,Administrator,,TRUE,
"jumping (repeatedly), s/he is",Verb,qetgua'artuq,L2.10.02n.mp3,,qetgua'artuq,L2.10.02s.mp3,,Fotosearch_EVW_060.gif,,Physical Actions,Administrator,,TRUE,
Kaguyak,Noun,Kangiyaq,L2.14-2.07n.mp3,,Kangiyaq,L2.14-2.07s.mp3,,Kangiyak.gif,,Placenames,Administrator,,TRUE,
Karluk,Noun,Kal'ut,L2.14-2.08n.mp3,,Kal'ut,L2.14-2.08s.mp3,,Kal'uq.gif,,Placenames,Administrator,,TRUE,
Kataq; Katani; (Afognak) Hollywood,Noun,Qat'at,L2.14-2.11n.mp3,,Qat'at,L2.14-2.11s.mp3,,katani.gif,,Placenames,Administrator,,TRUE,
"kayak, s/he is making a",Verb,qayaliyuq,L2.17.31n.mp3,,qayaliyuq,L2.17.31s.mp3,,,,"Communication & Arts, Community & Work",Administrator,,TRUE,
"kayak; boat, skin",Noun,qayaq,L1.08.11n.mp3,,qayaq,L1.08.11s.mp3,,SKW_022.gif,,"Transportation, Transportation",Administrator,,TRUE,
"kettle, tea",Noun,cainiik,L1.06.08n.mp3,,cainiik,L1.06.08s.mp3,,kettle.gif,,Food & Kitchen,Administrator,,TRUE,
kick it (once) (command),Verb,tuk'ru,L1.02.45n.mp3,,tuk'ru,L1.02.45s.mp3,,15833737.gif,,Physical Actions,Administrator,,TRUE,
kicking it. s/he is,Verb,tuk'rtugaa,L2.10.01n.mp3,,tuk'rtugaa,L2.10.01s.mp3,,15834480.gif,,Physical Actions,Administrator,,TRUE,
kingfisher,Noun,uguusirpak,kingfisher.mp3,,uguusirpak,kingfisher.mp3,,kingfisher.jpeg,,Animals,Administrator,,TRUE,
knee,Noun,cisquq,L1.02.24n.mp3,,cisquq,L1.02.24s.mp3,,knee.gif,,Body & Health,Administrator,,TRUE,
"Kodiak City, from",Locative,Sun'amek,L2.14-2.23n.mp3,,Sun'amek,L2.14-2.23n.mp3,,Sun'aq.gif,,Placenames,Administrator,,TRUE,
"lake, from the",Locative,nanwamek,L2.14.18n.mp3,,nanwamek,L2.14.18s.mp3,,lake.gif,,"Environment & Location, Environment & Location",Administrator,,TRUE,
"lake, in/on/at the",Locative,nanwami,L2.15.22n.mp3,,nanwami,L2.15.22s.mp3,,lake.gif,,"Environment & Location, Environment & Location",Administrator,,TRUE,
"lake, to the",Locative,nanwamen,L2.14.25n.mp3,,nanwamen,L2.14.25s.mp3,,lake.gif,,"Environment & Location, Environment & Location",Administrator,,TRUE,
"lake, via the",Locative,nanwagun,L2.19.12n.mp3,,nanwakun,L2.19.12s.mp3,,lake.gif,,"Environment & Location, Environment & Location",Administrator,,TRUE,
"lamp, stone oil",Noun,naniq,L1.08.17n.mp3,,naniq,L1.08.17s.mp3,,oillamp.jpeg,,Household,Administrator,,TRUE,
"land, on the",Locative,nunami,L2.15.21n.mp3,,nunami,L2.15.21s.mp3,,land.gif,,Environment & Location,Administrator,,TRUE,
"land, via the",Locative,nunagun,L2.19.13n.mp3,,nunakun,L2.19.13s.mp3,,land.gif,,Environment & Location,Administrator,,TRUE,
land's animals,Noun,nunam unguwallria'i,landanimals.mp3,,nunam unguwallria'i,,,animals.gif,,Animals,Administrator,,TRUE,
lantern,Noun,fana_uq,lantern.mp3,,fa_anaq,,,Fotosearch_COL_004.gif,,Household,Administrator,,TRUE,
"Larsen Bay, from",Locative,Uyaqsamek,L2.14-2.25n.mp3,,Uyaqsamek,L2.14-2.25n.mp3,,Uyaqsaq.gif,,Placenames,Administrator,,TRUE,
laugh (command),Verb,englaa,L1.01.36n.mp3,,englaa,L1.01.36s.mp3,,,,Physical Actions,Administrator,,TRUE,
"laughing, s/he is",Verb,englartuq,L1.11.05n.mp3,,englartuq,L1.11.05s.mp3,,Fotosearch_EVW_058.gif,,Qualities,Administrator,,TRUE,
leaf,Noun,cuyaq,L2.13.03n.mp3,,cuyaq,L2.13.03s.mp3,,leaf.gif,,Vegetation,Administrator,,TRUE,
"learn, I don't want to",Verb,liicun'itua,L2.08.29n.mp3,,liicun'tua,L2.08.29s.mp3,,,,"Communication & Arts, Community & Work",Administrator,,TRUE,
"left, s/he apparently",Verb,agellrumauq,L2.09.22n.mp3,,agellrumauq,L2.09.22s.mp3,,16095420.gif,,Physical Actions,Administrator,,TRUE,
lid; cover,Noun,patuq,L2.17.16n.mp3,,patuq,L2.17.16s.mp3,,lid.gif,,Food & Kitchen,Administrator,,TRUE,
"likes him/her/it, s/he",Verb,pingakaa,L2.05.16n.mp3,,pingakaa,L2.05.16s.mp3,,,,Senses & Emotions,Administrator,,TRUE,
"likes it, s/he",Verb,pingaqaa,L2.12.10n.mp3,,pingaqaa,L2.12.10s.mp3,,,,Senses & Emotions,Administrator,,TRUE,
"little, a",Adjective,ellma,L2.12.12n.mp3,,ellma,L2.12.12s.mp3,,,,Numbers & Time,Administrator,,TRUE,
long ago,Adverb,qangisinaq,L1.08.03n.mp3,,qangisinaq,L1.08.03s.mp3,,,,Numbers & Time,Administrator,,TRUE,
long long ago,Adverb,qangiquusinaq,L1.08.04n.mp3,,qangiquusinaq,L1.08.04s.mp3,,,,Numbers & Time,Administrator,,TRUE,
loon,Noun,uyaqurtulik,loon.mp3,,uyaqurtulik,loon.mp3,,loon.gif,,Animals,Administrator,,TRUE,
loon,Noun,,,,tuullek,,,loon.gif,,Animals,Administrator,Used in Kaguyak,TRUE,
"mad, s/he is; angry, s/he is",Verb,kum'gtuq,L2.09.12n.mp3,,kum'gtuq,L2.09.12s.mp3,,mad.gif,,Senses & Emotions,Administrator,,TRUE,
maggot,Noun,qepel'uq,maggot.mp3,,qepel'uq,,,maggot.jpg,,Animals,Administrator,,TRUE,
male (animal),Noun,angut'qiitak,maleanimal.mp3,,angut'qiitak,,,maleanimal.gif,,Animals,Administrator,,TRUE,
mallard,Noun,nillqataq,,,,,,mallard.gif,,Animals,Administrator,,TRUE,
mallet; sledge hammer,Noun,kau'utaq,,,kau'utaq,,,mallet2.gif,,Community & Work,Administrator,New Word,TRUE,
mallet; sledge hammer,Noun,mulut'uusinaq,,,mulut'uusinaq,,,mallet2.gif,,Community & Work,Administrator,New Word,TRUE,
man,Noun,nukallpiaq,man.mp3,,nukallpiaq,,,SKW_237.gif,,People & Roles,Administrator,,TRUE,
marmot; ground hog,Noun,quiriq,marmot.mp3,,quiriq,,,marmot.jpg,,Animals,Administrator,,TRUE,
"mashing it, s/he is",Verb,ciitaa,L2.17.30n.mp3,,ciitaa,L2.17.30s.mp3,,,,"Food & Kitchen, Physical Actions",Administrator,,TRUE,
mask,Noun,maas'kaaq,L1.08.14n.mp3,,maas'kaaq,L1.08.14s.mp3,,Iuaulik.gif,,Clothing & Regalia,Administrator,,TRUE,
mask (like a face),Noun,giinaruaq,L1.08.15n.mp3,,giinaruaq,L1.08.15s.mp3,,Iuaulik.gif,,Clothing & Regalia,Administrator,,TRUE,
match (for lighting a fire),Noun,spiic'kaaq,match.mp3,,spiic'kaaq,,,Match.gif,,Household,Administrator,,TRUE,
mattress,Noun,pi_inaq,,,pi_inaq,,,mattress.gif,,Household,Administrator,,TRUE,
"me, myself, and I",Pronoun,gui kima,L1.02.00n.mp3,,gui kima,L1.02.00n.mp3,,,,People & Roles,Administrator,,TRUE,
measuring cup,Noun,usp'rsuuteq caskaq,,,usp'rsuuteq caskaq,,,SKT_111.gif,,Food & Kitchen,Administrator,New Word,TRUE,
measuring spoons,Noun,usp'rsuutet laus'kaat,,,usp'rsuutet luus'kaat,,,SKT_112.gif,,Food & Kitchen,Administrator,New Word,TRUE,
measuring tape,Noun,uspaaq,,,uspaaq,,,Measuringtape3.gif,,Community & Work,Administrator,,TRUE,
measuring tape,Noun,usp'rsuuteq,,,usp'rsuuteq,,,Measuringtape3.gif,,Community & Work,Administrator,,TRUE,
measuring tape,Noun,_ulaq,,,,,,Measuringtape3.gif,,Community & Work,Administrator,,TRUE,
mechanical; motorized,Noun,masiinangq'rtaq,,,masiinangq'rtaq,,,,,Qualities,Administrator,,TRUE,
Mexican person,Noun,Miksikaq,mexican.mp3,,Miksikaq,,,SKW_238.gif,,People & Roles,Administrator,,TRUE,
milk; cream,Noun,muluk'uuq,,,mu_uk'uuq,,,fotosearch_fad_023.jpg,,Food & Kitchen,Administrator,,TRUE,
milkshake,Noun,muluk'uuruaq,,,mu_uk'uuruaq,,,SKT_207.gif,,Food & Kitchen,Administrator,,TRUE,
mirror,Noun,tangriu'utaq,,,tangriu'utaq,,,mirror.gif,,Household,Administrator,,TRUE,
"missed it, I",Verb,uniurtaqa,L2.08.23n.mp3,,uniurtaqa,L2.08.23s.mp3,,,,Physical Actions,Administrator,,TRUE,
mixer (something to stir with),Noun,akuuteq,,,akuuteq,,,SKT_108.gif,,Food & Kitchen,Administrator,New Word,TRUE,
"mixer, electric (thing you mix with)",Noun,akuut'suuteq,,,akuut'suuteq,,,akuutsuuteq.jpeg,,Food & Kitchen,Administrator,New Word,TRUE,
mop,Noun,suuwiteq,L1.17.04n.mp3,,suuwiteq,L1.17.04s.mp3,,fotosearch_skc_071.jpg,,Household,Administrator,,TRUE,
"mopping it, s/he is",Verb,suugaa,L2.18.01n.mp3,,suugaa,L2.18.01s.mp3,,Fotosearch_EVW_035.gif,,"Household, Physical Actions",Administrator,,TRUE,
"mopping, s/he is",Verb,suuwiyuq,,,suuwiyuq,,,Fotosearch_EVW_035.gif,,Physical Actions,Administrator,,TRUE,
morning,Noun,unuaq,L1.12.02n.mp3,,unuaq,L1.12.02s.mp3,,morning.gif,,Numbers & Time,Administrator,,TRUE,
Mother's Day,Noun,Aanam Ernera,,,Aanam Ernera,,,,,Community & Work,Administrator,New Word; Holiday,TRUE,
"motion, a",Noun,lliileq,L2.20.05n.mp3,,lliileq,L2.20.05s.mp3,,,,Physical Actions,Administrator,,TRUE,
motorcycle,Noun,umtuusaikalaq,,,umtuusaikalaq,,,skw_101.jpg,,Transportation,Administrator,New Word; Combination of loud and machine,TRUE,
motorcycle,Noun,masiinakliitaq,L1.18.06n.mp3,,masiinakliitaq,L1.18.06s.mp3,,skw_101_copy1.jpg,,Transportation,Administrator,New Word; Combination of bicycle and machine,TRUE,
motorized saw,Noun,mengqurtusqaq pilaq,,,mengqurtusqaq pilaq,,,Fotosearch_RES_145.gif,,Community & Work,Administrator,New Word,TRUE,
mountain goat,Noun,pehnaiq,mtgoat.mp3,,pehnaiq,,,Sheep2.gif,,Animals,Administrator,,TRUE,
moving sidewalk,Noun,kuingcarait'sqaq,,,kuingcarait'sqaq,,,kuingcaraitsqaq.jpg,,Community & Work,Administrator,New Word,TRUE,
"moving, they (2) are",Verb,nugtartuk,,,nugtartuk,,,Fotosearch_RES_081.gif,,Physical Actions,Administrator,,TRUE,
museum,Noun,culia'at elwiat,,,cuumillallret egwiat,,,museum.gif,,Community & Work,Administrator,New Word,TRUE,
mushroom,Noun,slaaparaaq,,,slaaparaaq,,,SKT_148.gif,,Food & Kitchen,Administrator,,TRUE,
mussels,Noun,qapilaat,L1.07.35n.mp3,,qapilaat,L1.07.35n.mp3,,Mussel.gif,,Animals,Administrator,,TRUE,
mustard,Noun,ka_tiit'saaq,,,ka_tiit'saaq,,,SKT_208.gif,,Food & Kitchen,Administrator,,TRUE,
nail,Noun,ucukcaq,,,ucukcaq,,,nail.gif,,"Community & Work, Community & Work",Administrator,,TRUE,
nail clipper,Noun,estuirsuuteq,,,estuirsuuteq,,,nail_clipper_copy1.jpg,,Household,Administrator,New Word,TRUE,
"name (is), my",Noun,atqa,L1.01.04n.mp3,,atqa,L1.01.04s.mp3,,,,Greetings & Expressions,Administrator,,TRUE,
"name (is), your",Noun,atren,L1.01.05n.mp3,,atren,L1.01.05s.mp3,,,,Greetings & Expressions,Administrator,,TRUE,
"name's day, it is his or her",Verb,agayuuq,,,agayuuq,,,Fotosearch_EVW_147.gif,,Body & Health,Administrator,,TRUE,
names (3+),Noun,at'rit,L2.02.00n.mp3,,at'rit,L2.02.00n.mp3,,,,People & Roles,Administrator,,TRUE,
napkin,Noun,aligsuutaq,,,allgursuuteq,,,napkin.gif,,Food & Kitchen,Administrator,,TRUE,
Native American; Indian,Noun,Matarngaq,indian.mp3,,Matarngaq,,,SKW_245.gif,,People & Roles,Administrator,,TRUE,
neck,Noun,uyaquq,L1.02.14n.mp3,,uyaquq,L1.02.14s.mp3,,neck.gif,,Body & Health,Administrator,,TRUE,
necklace (beaded),Noun,pisi_kaq,,,,,,beadednecklace.gif,,"Clothing & Regalia, Clothing & Regalia",Administrator,,TRUE,
nephew (sister's son),Noun,usguq,nephew.mp3,,usguq,,,nephew.gif,,People & Roles,Administrator,,TRUE,
nest,Noun,engluq,L1.04.01n.mp3,,ungluq,L1.04.01s.mp3,,nest.gif,,Animals,Administrator,,TRUE,
"net, seine",Noun,kugyasiq,L2.17.20n.mp3,,kugyasiq,L2.17.20s.mp3,,15842016.gif,,Community & Work,Administrator,,TRUE,
new,Adjective,nuta'aq,L1.08.06n.mp3,,nuta'aq,L1.08.06s.mp3,,,,Qualities,Administrator,,TRUE,
New Year,Noun,Nutaaq Uksuq,L1.13.09n.mp3,,Nutaaq Uksuq,L1.13.09s.mp3,,SKT_175.gif,,"Community & Work, Community & Work",Administrator,,TRUE,
"New Years, Russian",Noun,Nuuwikuutaq,L1.13.16n.mp3,,Snuuwikuutaq,L1.13.16s.mp3,,SKT_175.gif,,"Community & Work, Community & Work",Administrator,Holiday,TRUE,
"new, brand",Adjective,nuta'arpiaq,L2.17.24n.mp3,,nuta'arpiaq,L2.17.24s.mp3,,,,Qualities,Administrator,,TRUE,
newspaper,Noun,kasaitat,,,kasitat,,,SKT_047.gif,,Community & Work,Administrator,,TRUE,
nickel; a five cent coin,Noun,talliman siin'taaq,,,talliman siin'taaq,,,nickel.gif,,Numbers & Time,Administrator,,TRUE,
nickel; a five cent coin,Noun,citwiltaq,,,citwiltaq,,,nickel.gif,,Numbers & Time,Administrator,,TRUE,
night; last night,Noun,unuk,L1.12.03n.mp3,,unuk,L1.12.03s.mp3,,night.gif,,Numbers & Time,Administrator,,TRUE,
nine,Numeral,qulnguyan,nine.mp3,,qulnguyan,nine.mp3,,9.gif,,Numbers & Time,Administrator,,TRUE,
nine o'clock,Numeral,qulnguyanek kaugaa,NineOClock.mp3,,qulnguyanek kaugaa,NineOClock.mp3,,9o'clock.gif,,Numbers & Time,Administrator,,TRUE,
nineteen,Numeral,qula qulnguyan,Nineteen.mp3,,qula qulnguyan,Nineteen.mp3,,19.gif,,Numbers & Time,Administrator,,TRUE,
oar,Noun,caqiyuteq,L1.08.12n.mp3,,caqiyuteq,L1.08.12s.mp3,,oar.gif,,"Transportation, Transportation",Administrator,,TRUE,
"ocean; sea; water, salt",Noun,imaq,L2.14.02n.mp3,,imaq,L2.14.02s.mp3,,ocean.gif,,Environment & Location,Administrator,,TRUE,
October; Runny Nose Moon,Noun,Kak'gllum Iralua,,,Kak'gllum Iralua,,,october.gif,,Numbers & Time,Administrator,Month,TRUE,
old,Adjective,qangirllaq,L2.17.21n.mp3,,qangillaq,L2.17.21s.mp3,,,,Qualities,Administrator,,TRUE,
