english,part_of_speech,alutiiq_north,north_audio,north_sentence,alutiiq_south,south_audio,south_sentence,image_name,root_word,category,edited_by,notes,completed,approved
fireman,Noun,qam_rkwa_ilista,,,qam_rkwa_ilista,firemans.mp3,,qamrkwailista.jpg,,"Community & Work, People & Roles",Candace Branson,,TRUE,
oh! ah!; oh my,Other,aa-aa'i,,,aa-aa'i,ohs.mp3,,,,Greetings & Expressions,Candace Branson,An expression of mild surprise.,TRUE,
ouch; ow,Other,ayaa,,,ayaa,ouchs.mp3,,,,Greetings & Expressions,Candace Branson,,TRUE,
principal; school_s boss,Noun,skaulum kasa_inaa,,,skuulum kasa_inaa,principals.mp3,,,,"Community & Work, People & Roles",Candace Branson,,TRUE,
principal; school_s leader,Noun,skaulum angnerta,,,skuulum angnerta,prinsipal1s.mp3,,,,"Community & Work, People & Roles",Candace Branson,,TRUE,
How are you?,Other,Cestun et'cit?,,,Cestun et'cit?,howareyous.mp3,,,,Greetings & Expressions,Candace Branson,,TRUE,
gardener,Noun,naut_sta_ista,,,naut_sta_ista,gardeners.mp3,,fotosearch_res_165.jpg,,"Community & Work, People & Roles",Candace Branson,,TRUE,
writer,Noun,igalista,,,igalista,writers.mp3,,igaista.jpeg,,"Communication & Arts, People & Roles",Candace Branson,,TRUE,
cheese(s),Noun,ciisaq (1); ciisak (2); ciisat (3+),cheesen.mp3,,ciisaq (1); ciisak (2); ciisat (3+),cheesesn.mp3,,SKT_137.gif,,Food & Kitchen,Candace Branson,,TRUE,
cement; concrete; asphalt,Noun,samin'taaq,cementn.mp3,,samin'taaq,cementn.mp3,,samintaaq.jpg,,Community & Work,Candace Branson,Remembered Word,TRUE,
cast (bone's holder),Noun,nenrem tuumiaq'suutii,castn.mp3,,nenrem tuumiaq'suutii,castn.mp3,,cast.gif,,Body & Health,Candace Branson,New Word,TRUE,
cafeteria; lunch counter,Noun,nerwiguaq,cafeterian.mp3,,nerwiguaq,cafeterian.mp3,,Fotosearch_SWO_127.gif,,Food & Kitchen,Candace Branson,New Word,TRUE,
carwash,Noun,kaa_am urtursuutii,carwashn.mp3,,kaa_am urtursuutii,carwashn.mp3,,kaaram_urtursuutii.jpeg,,Community & Work,Candace Branson,New Word,TRUE,
cartoons,Noun,callruat,cartoonsn.mp3,,callruat,cartoonsn.mp3,,,,Communication & Arts,Candace Branson,Remembered Word,TRUE,
captain,Noun,na_iaciik,captainn.mp3,Kugyasigtaangama na_iaciyutaallrianga. - When I was fishing (seining) I used to be a captain.,na_aciik,,Kugyasigtaangama na_aciyutaallrianga. - When I was fishing (seining) I used to be a captain.,SKW_032.gif,,People & Roles,Candace Branson,AWOTW,TRUE,
cake,Noun,kiik'saaq; kiikeq,caken.mp3,,kiik'saaq; kiikeq,cakes.mp3,,SKT_066.gif,,Food & Kitchen,Candace Branson,,TRUE,
bedding; mattress,Noun,alliqaq,matressn.mp3,,alliqaq,matressn.mp3,,bedding.gif,,Household,Candace Branson,,TRUE,
bedroom,Noun,qawarwik,,,qawarwik,bedrooms.mp3,,bedroom.gif,qawarwig-,"Household, Environment & Location",Candace Branson,,TRUE,
"booties (pair), baby",Noun,cuukiruak,bootiesn.mp3,,cuukiruak,bootiess.mp3,,Booties.gif,,Clothing & Regalia,Candace Branson,,TRUE,
box,Noun,yaasiik,boxn.mp3,Ka_antaasaq yaasigmi et'uq. - The pencil is in the box.,yaasiik,boxs.mp3,Ka_antaasaq yaasigmi et'uq. - The pencil is in the box.,box.jpg,,Household,Candace Branson,AWOTW,TRUE,
bread pan,Noun,gleipalirsuuteq,breadpan2n.mp3,,listaaq,breadpan2s.mp3,,breadpan.gif,,Food & Kitchen,Candace Branson,,TRUE,
breath mint; breath freshener,Noun,anernerem tepk'gca'isuutii,breathmintn.mp3,,anernerem tepk'gca'isuutii,breathmintn.mp3,,breath_mints.jpeg,,Body & Health,Candace Branson,New Word,TRUE,
breast pump (thing for suckling),Noun,amam puumpaa'a,breastpumpn.mp3,,amam puumpaa'a,breastpumpn.mp3,,breast_pump.jpg,,Body & Health,Candace Branson,New Word,TRUE,
